SID,x,y,STUDENT,WORKER
1,-82.45878308035249,29.68981599081512,680,98
2,-82.43519639930838,29.675265391311946,1006,144
3,-82.43388795014438,29.688317851813302,829,119
4,-82.38973957060865,29.67304161245868,1119,160
5,-82.38107970021785,29.671856190893536,290,42
6,-82.40044820938104,29.662831740989265,352,51
7,-82.37154690914275,29.683720631196962,1094,157
8,-82.37295148020809,29.6655930109311,929,133
9,-82.36827772013287,29.681195351935706,896,128
10,-82.35228119932376,29.68747064172068,1173,168
11,-82.42731025934489,29.63882038128147,1376,197
12,-82.41503769039319,29.632204181860544,452,65
13,-82.5816879701164,29.741355072176443,459,66
14,-82.49394358014928,29.78868195164969,266,38
15,-82.50607544950027,29.540608272008424,266,38
16,-82.45864399967236,29.63186563136248,829,119
17,-82.44713577943931,29.63121446200659,957,137
18,-82.47092613701787,29.570229131005046,652,94
19,-82.4666405897107,29.692678990994832,197,29
20,-82.31925706026573,29.66817056129178,810,116
21,-82.2998764099203,29.669719761775646,304,44
22,-82.27311130036311,29.648593511134727,124,18
23,-82.18792253049324,29.642686411532083,279,40
24,-82.28974791965939,29.504845051534414,77,11
25,-82.52262233956088,29.520241551623293,106,16
26,-82.28659833886213,29.509133011875182,180,26
27,-82.6053942896613,29.641085991252094,196,28
28,-82.61531259978467,29.64263244176778,124,18
29,-82.61383360028778,29.637858071385697,346,50
30,-82.58992933945625,29.834424171530618,419,60
31,-82.52414153986572,29.806668281251827,147,21
32,-82.49329327049513,29.80556316170181,204,30
33,-82.46482432999973,29.81366734193084,179,26
34,-82.4933164697154,29.779376631261474,264,38
35,-82.49233242005621,29.79463779206763,237,34
36,-82.40072161070435,29.67863717261529,513,74
37,-82.34830042946417,29.656550850870026,377,54
38,-82.44485059985541,29.628655632262614,416,60
39,-82.44172965018915,29.6733393209863,305,44
40,-82.4404499295681,29.671480002270627,408,59
41,-82.40811059969754,29.655219881853697,451,65
42,-82.38751271998562,29.707805451428484,404,58
43,-82.35470321023956,29.696391840891582,289,42
44,-82.37366823985315,29.65995623266293,294,42
45,-82.37052382034398,29.66492292176525,217,31
46,-82.36475252969083,29.68229600123008,289,42
47,-82.35160594041582,29.687839411831703,280,40
48,-82.34030651887792,29.66933324152782,451,65
49,-82.33312047968798,29.68806153125702,234,34
50,-82.32704162988067,29.673489431709395,223,32
51,-82.32745068063147,29.6677321214572,879,126
52,-82.33536254954062,29.658056360647805,541,78
53,-82.33519017034433,29.640351722566137,1503,215
54,-82.42063163091166,29.61124364136011,603,87
55,-82.42084966976569,29.606395521524156,393,57
56,-82.40630266038391,29.607420511305783,1203,172
57,-82.34819770089717,29.609675282006773,363,52
58,-82.3417827811736,29.60295620057063,209,30
59,-82.31543690102207,29.633780032418095,217,31
60,-82.30250238995434,29.6213942719075,423,61
61,-82.313028239286,29.648683501862664,415,60
62,-82.30912775908736,29.64536752115068,200,29
63,-82.3093076102241,29.642802641543426,163,24
64,-82.30062762985055,29.650259170602595,699,100
65,-82.31402437091461,29.669139771877013,157,23
66,-82.30848480112428,29.66954556215257,232,34
67,-82.30663566108657,29.68991162226608,132,19
68,-82.30675548022538,29.684581681983097,184,27
69,-82.30669522105902,29.684498451987302,438,63
70,-82.2713917004236,29.647057051574034,147,21
71,-82.28562899958315,29.655977610953144,203,29
72,-82.26871884927182,29.63994049208007,184,27
73,-82.27245867002279,29.703557751901602,119,17
74,-82.09091717040536,29.59384023136219,262,38
75,-82.09224935010712,29.589730091135696,108,16
76,-82.42165241893406,29.612035981368177,1125,161
77,-82.28883625036806,29.658569131585548,213,31
78,-82.16952267990627,29.791938471142693,185,27
79,-82.30838531021752,29.673302901589572,184,27
80,-82.46215085954124,29.687845552287108,305,44
81,-82.33783543954983,29.672898721397498,462,66
82,-82.60382420044888,29.838763341358955,401,58
83,-82.46747053986235,29.813857191592504,400,58
84,-82.52576943105495,29.53215521122076,279,40
85,-82.26373934042381,29.650863521849683,405,58
86,-82.33045856989865,29.65996839194908,639,92
87,-82.31214240011292,29.66607781598369,730,105
88,-82.47509237104767,29.633934541372316,319,46
89,-82.40263015056118,29.661983711952036,1084,155
90,-82.37621610205787,29.65990696583587,1089,156
91,-82.29762159901911,29.660619451782868,479,69
92,-82.30680505258879,29.689801801992065,150,22
93,-82.33032427460475,29.662731502258346,573,82
94,-82.5963644258014,29.826525202729233,558,80
95,-82.4645846263079,29.81375807590721,118,17
96,-82.32202285082198,29.650067341644927,67,10
97,-82.33996315984906,29.629149822033398,426,61
98,-82.31336249946088,29.667100951215055,84,12
99,-82.40673987965808,29.60314164085016,NA,NA
100,-82.33825095537247,29.59346485509813,24,4
101,-82.31583795967687,29.652265831657044,89,13
102,-82.33049679033638,29.654616931446558,187,27
103,-82.52792702033621,29.53186048226168,127,19
104,-82.27457127911677,29.676278794533328,1023,147
105,-82.43323607045973,29.68103546117951,5169,739
106,-82.47359232713244,29.785646072917608,109,16
107,-82.33987760012026,29.64960825203052,33394,4771
108,-82.41057157992765,29.801966341409326,NA,NA
109,-82.26498293967917,29.743828312036815,NA,NA
110,-82.47488081889486,29.782785731583953,NA,NA
111,-82.41568505986142,29.778690601974528,NA,NA
112,-82.29935575072572,29.672018536868013,NA,NA
113,-82.49515199893784,29.92579360158512,NA,NA
114,-82.34681529030019,29.59658913092529,NA,NA
115,-82.30577061901968,29.533912290677055,NA,NA
116,-82.4143470111199,29.620021471975267,NA,NA
