week,excess_by_threshold,excess_by_expect,rdeath
10,0,162,0
11,0,69,0
12,0,21,9
13,0,127,47
14,0,210,139
15,58,296,251
16,0,227,302
17,180,408,327
18,40,254,313
19,130,359,397
20,24,257,255
21,127,356,272
22,28,248,218
23,114,324,243
24,97,326,243
25,252,483,238
26,382,609,264
27,621,839,314
28,1005,1210,514
29,1426,1648,745
30,1659,1873,881
31,1759,1980,1234
32,1561,1777,1109
33,1510,1717,1272
34,1196,1416,875
35,989,1210,801
36,720,937,738
37,463,668,763
38,579,791,695
39,308,537,743
40,204,438,643
